Reference,Author,Date,Timestamp,Lines_Updated,Author_Comment
r1525124,Jimmy,2015-09-29,12:49:38,1,Added settings as a main activity to launch
r1525067,Jimmy,2015-09-29,11:55:33,1,Lint fix
r1525056,Jimmy,2015-09-29,11:50:00,1,Added custom permission to receiver
r1525043,Jimmy,2015-09-29,11:36:56,1,Lint fix
r1525032,Jimmy,2015-09-29,11:31:00,1,Added r2g permission
r1525020,Jimmy,2015-09-29,11:22:15,1,Added R2G config
r1524333,Jimmy,2015-09-28,11:47:57,1,Modified broadcast receiver for R2G
r1523786,Thomas,2015-09-25,14:35:53,1,PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.
r1523768,Jimmy,2015-09-25,14:15:11,1,Initial addition for R2G classes
r1523643,Jimmy,2015-09-25,11:35:42,1,CR023: Phone globe for the mobile client splash screen
r1521833,Thomas,2015-09-22,14:23:03,1,Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
r1520473,Jimmy,2015-09-18,14:08:32,1,Auth failure error codes
r1520031,Thomas,2015-09-17,15:02:43,1,PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker
r1519600,Thomas,2015-09-16,15:05:40,1,Removed &amp;#160;
r1519555,Thomas,2015-09-16,14:19:18,1,PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.
r1519330,Jimmy,2015-09-16,08:42:42,1,PHONE-1318
r1517160,/OU=Domain Control Validated/CN=svn.company.net,2015-09-10,17:34:36,1,[gradle-release] prepare for next development iteration
r1516858,Jimmy,2015-09-10,11:03:36,1,PHONE-1318
r1516801,Jimmy,2015-09-10,09:49:48,1,Seperated strings for shares from main strings files
r1516395,/OU=Domain Control Validated/CN=svn.company.net,2015-09-09,15:10:46,1,[gradle-release] prepare for next development iteration
r1516364,Jimmy,2015-09-09,14:45:52,1,Remove report abusive content
r1516286,/OU=Domain Control Validated/CN=svn.company.net,2015-09-09,13:23:06,1,[gradle-release] prepare for next development iteration
r1516221,Thomas,2015-09-09,11:37:11,2,PHONE-1227: ATT Android|| Observed "File too large to upload" popup while taking the picture. Added extra check if we have that size or not.
r1516206,Thomas,2015-09-09,11:18:13,1,PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen
r1516182,Thomas,2015-09-09,10:57:24,1,PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else
r1516140,Thomas,2015-09-09,09:54:23,1,Added back empty sliding_menu_header
r1516124,Jimmy,2015-09-09,09:35:37,1,String updates
r1516078,Jimmy,2015-09-09,08:36:04,1,String updates
r1515856,Thomas,2015-09-08,16:52:10,1,Update icons
r1515669,Thomas,2015-09-08,13:00:44,1,PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners
r1515598,Thomas,2015-09-08,11:12:36,1,Increased swipe time to 5 sec
r1515597,Thomas,2015-09-08,11:09:10,1,PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet
r1515550,Thomas,2015-09-08,09:46:51,1,PHONE-1275: Android Galaxy Tablet - Image Carousel
